Date,BAJAJELEC,upper,lower
2018-10-09,495.1,533.0797927668305,471.84163580459835
2018-10-10,508.25,526.3204283801822,475.12242876267504
2018-10-11,491.3,519.4419422038868,476.97234351039907
2018-10-12,498.65,515.5557582313583,478.36567034007044
2018-10-15,502.85,511.3836592557212,480.609197887136
2018-10-16,531.3,522.2507943664849,473.77777706208667
2018-10-17,515.15,525.2557244138675,474.0942755861326
2018-10-19,501.7,525.5606530427618,475.2393469572383
2018-10-22,492.35,525.1525743700101,474.1902827728472
2018-10-23,490.25,524.9023416731872,472.97622975538434
2018-10-24,495.1,524.884486902592,472.9083702402653
2018-10-25,482.5,525.3330728885876,470.4954985399839
2018-10-26,472.9,526.9972844292016,466.5670012850842
2018-10-29,462.75,529.6469409368457,461.80305906315436
2018-10-30,472.5,530.2399519359412,457.98147663548735
2018-10-31,484.6,527.9087115436007,456.93414559925657
2018-11-01,505.5,529.5903698763693,457.28105869505924
2018-11-02,498.55,529.5788286738646,457.27831418327844
2018-11-05,505.7,530.0421078317252,457.2221778825605
2018-11-06,501.7,521.3487550932581,461.68695919245624
2018-11-07,502.25,517.9793672316617,463.21348991119544
2018-11-09,502.0,518.038669203511,463.19704508220343
2018-11-12,499.45,518.9435535762858,463.3064464237142
2018-11-13,503.7,520.6919381531842,463.4794904182444
2018-11-14,500.75,521.4360851539813,463.54248627459015
2018-11-15,493.15,521.6199732924645,464.8800267075355
2018-11-16,505.65,522.0689202275453,469.10965120102605
2018-11-19,483.7,517.1654947231929,477.0059338482356
2018-11-20,482.05,514.6429004883379,480.8928137973763
2018-11-21,474.0,517.079717502358,476.94171106907044
2018-11-22,467.2,519.2107250669626,469.33927493303725
2018-11-26,460.6,522.1165216533931,461.01204977517824
2018-11-27,455.4,522.8822757789515,453.0605813639055
2018-11-28,471.3,520.8140411395605,450.7859588604394
2018-11-29,472.5,517.9925835172188,449.357416482781
2018-11-30,472.85,514.6345291331157,448.55118515259846
2018-12-03,473.4,511.345032320454,448.11925339383157
2018-12-04,476.5,506.242274703447,449.3362967251243
2018-12-05,472.8,501.04852999053156,450.5371842951826
2018-12-06,468.9,497.44542916765454,450.675999403774
2018-12-07,472.35,486.39041405936075,456.973871654925
2018-12-10,466.05,483.6428979582631,457.19995918459415
2018-12-11,470.35,480.9959275629812,458.1755010084475
2018-12-12,474.75,481.14541642603217,458.1331550025394
2018-12-13,503.5,493.5484279694406,450.9158577448453
2018-12-14,513.0,505.36538958570895,446.5846104142911
2018-12-17,509.4,511.66317771653024,448.0011079977556
2018-12-18,509.8,517.7185716223629,447.4457140919229
2018-12-19,510.75,522.9343382348246,447.69423319374687
2018-12-20,517.0,528.88498236211,448.0507319236043
2018-12-21,506.5,531.3247937980178,450.339491916268
2018-12-24,503.35,532.8601176570364,452.63988234296374
2018-12-26,495.4,532.7998747626439,455.92869666592765
2018-12-27,494.4,531.731273968839,460.64015460258963
2018-12-28,497.4,530.7673243833264,465.1826756166735
2018-12-31,504.5,527.9673940959316,473.4754630469255
2019-01-01,513.55,525.4437164925661,482.1705692217195
2019-01-02,506.35,519.7899735110515,492.33859791751996
2019-01-03,497.75,520.0380964620697,491.26904639507313
2019-01-04,490.05,519.9405788544545,488.08799257411687
2019-01-07,494.05,519.3523708794426,486.48334340627173
2019-01-08,489.7,518.8141322739014,484.1501534403843
2019-01-09,489.35,517.5374567210145,482.3696861361285
2019-01-10,488.25,513.5129137870816,482.2870862129184
2019-01-11,484.05,512.6961689204783,479.896688222379
2019-01-14,479.75,512.6563052056069,476.56512336582165
2019-01-15,481.3,512.9839129467799,474.223229910363
2019-01-16,479.7,513.2932199785778,471.8139228785652
2019-01-17,470.45,514.2351778795551,467.0219649775879
2019-01-18,468.6,512.9450298464691,463.18354158210246
2019-01-21,470.45,506.75352497988666,463.2179035915421
2019-01-22,468.65,501.89563783817545,462.69007644753884
2019-01-23,464.0,499.5971744961538,460.16711121813194
2019-01-24,459.05,499.3307856735797,456.00492861213456
2019-01-25,454.65,497.5606175828967,452.1465252742461
2019-01-28,436.95,499.87268859892754,442.29873997250104
2019-01-29,426.85,501.867545963398,431.3753111794591
2019-01-30,456.7,497.63589694876043,431.09981733695383
2019-01-31,458.2,493.8995374100027,431.14331973285437
2019-02-01,467.0,491.5415365410217,431.67989203040673
2019-02-04,474.0,489.77080424964555,432.4077671789258
2019-02-05,474.85,488.5601969798021,432.9255173059122
2019-02-06,476.6,489.84132334740315,432.5229623668826
2019-02-07,515.15,505.1637130924246,423.85057262186103
2019-02-08,482.1,506.9846969227847,423.69387450578677
2019-02-11,479.85,508.4831015114413,423.7954699171303
2019-02-12,463.95,508.4803157683706,423.791112803058
2019-02-13,455.9,508.45052692446905,423.3709016469595
2019-02-14,440.0,509.27685199856774,420.4517194300038
2019-02-15,441.55,508.7761435855126,421.60957070020174
2019-02-18,430.2,508.1365221523476,422.72776356193816
2019-02-19,434.05,509.55217488173855,418.07639654683294
2019-02-20,436.85,510.205385121659,414.37318630691254
2019-02-21,458.45,509.5539660127741,413.8031768443689
2019-02-22,458.25,507.9192270206776,413.1879158364654
2019-02-25,462.6,506.35412448096645,413.00301837617656
2019-02-26,452.7,503.72003450707024,412.22282263578694
2019-02-27,449.55,485.1324005901181,421.4390279813106
2019-02-28,453.0,478.4130205349434,424.0012651793424
2019-03-01,453.6,471.1115476361339,427.55273807815195
2019-03-05,478.6,476.21360174031014,424.54354111683284
2019-03-06,476.9,481.2860983113664,422.4710445457766
2019-03-07,481.4,487.2683528455929,422.4030757258358
2019-03-08,490.4,494.8529818979662,421.7970181020338
2019-03-11,501.85,502.9520353782351,423.93367890747925
2019-03-12,507.5,510.8060132256137,426.5725582029578
2019-03-13,503.05,514.9974306623831,431.8382836233312
2019-03-14,506.2,520.8794810373681,432.77766181977483
2019-03-15,516.5,528.3597273025113,433.61884412606025
2019-03-18,510.5,532.9642403174006,435.8571882540279
2019-03-19,522.35,538.2151100439013,440.55631852752725
2019-03-20,526.5,541.676761337061,448.0875243772247
2019-03-22,522.85,542.1023999674874,457.6404571753699
2019-03-25,524.9,539.6873312332158,470.2412401953556
2019-03-26,534.35,543.4313520171136,474.46150512574354
2019-03-27,559.5,553.7003257977065,475.99253134515084
2019-03-28,566.55,563.6908249902135,478.1663178669294
2019-03-29,558.1,568.9644536016258,482.5641178269459
2019-04-01,551.2,572.1358846919866,486.4426867365851
2019-04-02,565.85,578.4705401302416,488.4437455840442
2019-04-03,549.25,578.846897816365,494.667387897921
2019-04-04,538.3,577.2904135799957,500.8095864200044
2019-04-05,544.6,577.0847787697372,505.0295069445489
2019-04-08,532.5,574.6063693583769,510.65077349876634
2019-04-09,541.0,573.7805367732262,514.1408917982026
2019-04-10,550.05,573.8321037871635,517.4536104985509
2019-04-11,548.55,572.4358800324087,522.5212628247343
2019-04-12,556.25,571.3530353040339,528.0826789816806
2019-04-15,571.7,575.0448075044297,529.726621066999
2019-04-16,578.35,580.1420071897342,527.3222785245518
2019-04-18,566.85,580.2086847713255,527.2984580858177
2019-04-22,564.5,581.2050492632437,527.2163793081853
2019-04-23,560.7,582.0347961398365,527.7437752887354
2019-04-24,563.45,581.5941723419552,527.8415419437596
2019-04-25,568.9,583.8078516336078,528.4350055092497
2019-04-26,570.3,585.0185012517146,531.7957844625713
2019-04-30,571.85,586.5983793923364,534.1087634648067
2019-05-02,565.5,583.5503650494867,541.8710635219419
2019-05-03,559.5,580.9113794030766,547.1529063112093
2019-05-06,557.85,579.9247738969996,549.253797531572
2019-05-07,557.75,578.2292257268176,552.2636314160394
2019-05-08,534.45,584.3054548194173,543.0731166091541
2019-05-09,531.85,586.96372581562,534.7219884700943
2019-05-10,540.9,584.2358925987064,532.099821687008
2019-05-13,541.55,583.3283067617954,529.3931218096332
